Date,Hour,Imports,Exports
28-Jan-14,8,396,"3,259"
28-Jan-14,9,540,"3,248"
28-Jan-14,10,686,"2,910"
28-Jan-14,11,305,"2,063"
28-Jan-14,12,391,"1,901"
28-Jan-14,13,406,"1,906"
28-Jan-14,14,744,"1,885"
28-Jan-14,15,945,"2,123"
28-Jan-14,16,786,"2,324"
28-Jan-14,17,681,"2,877"
28-Jan-14,18,737,"3,072"
28-Jan-14,19,777,"3,112"
28-Jan-14,20,807,"3,070"
28-Jan-14,21,737,"2,804"
28-Jan-14,22,572,"2,322"
28-Jan-14,23,471,"2,341"
28-Jan-14,24,446,"1,997"
29-Jan-14,1,579,"2,500"
29-Jan-14,2,590,"2,174"
29-Jan-14,3,713,"2,289"
29-Jan-14,4,479,"2,521"
29-Jan-14,5,399,"3,141"
29-Jan-14,6,321,"3,159"
29-Jan-14,7,354,"2,665"
29-Jan-14,8,38,"2,090"
29-Jan-14,9,496,"2,104"
29-Jan-14,10,569,"2,699"
29-Jan-14,11,664,"2,540"
29-Jan-14,12,962,"2,983"
29-Jan-14,13,"1,365","2,429"
29-Jan-14,14,"1,384","2,436"
29-Jan-14,15,"1,895","2,777"
29-Jan-14,16,"1,290","2,460"
29-Jan-14,17,826,"2,596"
29-Jan-14,18,844,"2,744"
29-Jan-14,19,739,"2,541"
29-Jan-14,20,908,"2,789"
29-Jan-14,21,500,"2,565"
29-Jan-14,22,792,"2,894"
29-Jan-14,23,"1,430","2,970"
29-Jan-14,24,"1,444","2,877"
30-Jan-14,1,"1,364","2,776"
30-Jan-14,2,"1,280","3,106"
30-Jan-14,3,466,"2,981"
30-Jan-14,4,464,"3,252"
30-Jan-14,5,464,"3,319"
30-Jan-14,6,714,"3,403"
30-Jan-14,7,149,"3,448"
30-Jan-14,8,49,"3,024"
30-Jan-14,9,117,"3,122"
30-Jan-14,10,591,"3,320"
30-Jan-14,11,741,"3,169"
30-Jan-14,12,924,"2,843"
30-Jan-14,13,"1,015","2,710"
30-Jan-14,14,792,"2,083"
30-Jan-14,15,"1,144","2,230"
30-Jan-14,16,"1,305","2,444"
30-Jan-14,17,687,"2,090"
30-Jan-14,18,928,"2,227"
30-Jan-14,19,727,"2,242"
30-Jan-14,20,571,"1,713"
30-Jan-14,21,676,"1,764"
30-Jan-14,22,"1,298","2,042"
30-Jan-14,23,948,"2,256"
30-Jan-14,24,450,"2,405"
31-Jan-14,1,473,"3,028"
31-Jan-14,2,446,"2,384"
31-Jan-14,3,464,"2,736"
31-Jan-14,4,450,"2,757"
31-Jan-14,5,464,"2,494"
31-Jan-14,6,804,"2,432"
31-Jan-14,7,851,"2,158"
31-Jan-14,8,950,"2,095"
31-Jan-14,9,"1,150","2,117"
